user_id,itemid,buy_mount
786295544,50014866,2
532110457,50011993,1
249013725,50012461,1
917056007,50018831,2
444069173,50013636,1
152298847,121394024,1
513441334,50010557,1
297411659,50010542,1
82830661,50013874,1
475046636,203527,1
734147966,50018202,2
68547330,50012365,1
697081418,50013636,1
377550424,50015841,1
88313935,50013711,1
25918750,50012359,1
350288528,50010544,1
348090113,50009540,1
1635282280,50013207,1
530850018,50024147,1
749507708,50018860,1
201088567,50013207,1
469517728,211122,6
691367866,121434042,1
77193822,50006520,2
605678021,50010555,1
47702620,121412034,1
763560371,50012365,1
408028533,50012442,1
53566371,121394024,1
69873877,50010555,1
1609185254,121394024,1
1746148145,50012365,1
256475742,121452056,1
405194127,50007011,1
938309370,50023669,1
84258337,50016704,1
14466144,50011993,1
177724549,50018824,1
727823869,121466023,2
659020106,50011993,1
46277938,50006602,1
827091396,50010566,1
18100946,121540027,1
725813399,50010544,1
1054852159,50006235,2
262519726,121398041,1
87207277,121470030,1
1053602675,50013636,1
103125167,50018438,16
886492677,50016704,1
115566151,50013187,1
55544814,50015727,4
1714403831,50014129,1
723975586,50023591,1
66451440,50013636,1
47342027,50013636,1
354780072,50016704,1
1660751516,50024842,2
1981826945,50010538,1
61003275,50018831,3
848482116,50010538,1
405014302,50012777,1
806635728,121452056,1
1970876909,211122,1
605724983,50006520,12
2148300507,50010549,1
818595619,50013636,1
442760655,50016704,1
1026379511,50012375,1
113473924,50014250,1
117887031,50012451,1
468447138,50012442,1
348660284,50014250,1
129642523,50012364,1
1708761610,50016030,1
908702885,50023591,1
151915451,211122,2
745002413,50023645,1
1046234868,50023591,1
810362779,50010545,1
119784861,50140021,1
277184180,50010555,1
648623529,50010555,1
1085938456,50013207,1
2214390386,50013636,1
346816172,50013636,1
654037597,50011993,1
1667892062,50158020,1
277279277,211122,12
1721792494,50008845,1
56549058,50003700,1
696527486,50011993,1
643153890,50003700,1
362976947,50012375,1
1097191176,50015841,1
1107237181,121382039,1
1090130969,50012364,1
373997473,50012442,1
59135448,50012375,1
159200525,50010566,1
1716267100,50010558,1
144193086,50007011,1
2244510155,50012442,1
856616583,50006602,1
883251550,121398035,1
669370290,121540027,1
212511511,50013636,1
170840099,50012461,1
371153601,251725,1
91963477,50012360,1
81157762,50010557,1
716099843,50012460,1
724395786,50023531,1
282509697,50013636,2
35547603,50012451,1
353309946,50012359,1
296448405,50016030,7
189760285,50010549,1
76082889,50010557,1
1865255157,50014863,1
1069610848,50013207,1
190260411,50013636,1
272455031,50013881,1
120447438,50003700,1
115912567,50010558,1
45142316,121452027,1
1047298224,121540027,1
1904323341,211130,1
760669975,50010557,1
159129426,50013711,2
674635535,50010544,1
47326167,50023670,1
645596397,50010549,1
97481514,211122,6
1598030949,50012365,1
674122597,50013711,1
161103051,50023591,1
152064494,50013207,1
263060708,50012730,1
368749905,50006602,1
65853425,50010555,1
130868188,250822,1
549199469,50012564,3
278221658,50003700,1
791132180,50006096,1
302696640,50012451,1
108029337,50015146,1
662134541,211122,6
420401637,50006032,1
222247261,50156020,2
1953881444,50024842,1
54677605,50023531,3
355672847,50024631,3
640785615,50012461,1
39433761,50010236,1
1780013657,50010558,1
600831509,50009549,1
50819203,50016704,1
58486545,50012364,1
641458434,50010558,1
15107241,50132021,1
1966120346,50023591,1
392769274,50012451,1
158164362,50009542,1
464897855,50013207,1
273630132,50013636,1
324735255,50014271,1
767890826,50019022,1
757254614,50013711,1
1815062610,50012365,1
1678332163,50010544,1
823760763,50006094,1
2161214395,50014866,1
383107043,50018860,1
660730336,50010537,1
913089810,50016030,1
275261625,50010558,1
1040747103,50013178,1
349454063,50012807,1
133453222,50006041,1
357694485,50010558,1
58311763,121408024,1
366628138,50013636,1
59437819,50012359,1
36794431,50010566,1
16132793,50003700,1
87072462,50010558,1
102413192,50006820,1
83200871,50006602,1
352628130,50012451,1
58396375,50010557,1
47528667,50007011,1
44340719,251725,1
345888076,50007011,1
372717456,122660027,1
1046278119,50008856,1
520288854,50013207,1
41290428,211122,1
71510137,50012361,1
922120529,50012439,1
773452235,50013207,1
42987311,50013187,4
78373589,50013711,1
872506303,50011993,1
47579319,121466023,1
695170303,50006520,1
23202259,50013207,1
682480993,50010555,1
21311970,50000820,1
353604868,50012359,1
1666744184,50012359,1
2115106170,50011993,1
21982137,50008721,1
112064803,50013711,1
75490173,211122,2
897014068,50010566,1
288586293,50016116,1
641175953,50013636,1
1684115591,50002524,1
61944117,50024168,3
325944993,50012360,1
805865879,50018831,1
671476780,50014129,1
753549901,50018436,1
2059210808,50012245,1
892980209,50016704,1
52569790,50018825,2
137947475,50013636,1
705436835,50010555,1
780079127,50012438,1
678534442,50012360,1
901626357,50010558,1
693235556,50156020,1
49436265,121406041,1
1070267161,121364022,1
35832151,50012451,1
387201989,50012245,1
647972637,50010536,1
603896228,50012449,1
788123879,50012364,1
811678808,50018440,1
56451923,50012773,1
446462579,50008424,1
1698269229,50012361,3
1076546787,50012442,1
11398888,50008807,4
392530596,50011993,101
1886671878,50023591,1
411688371,50012432,1
351595773,121394024,1
658723068,50013636,1
874019884,50010558,1
1923869975,50012564,1
832043508,50023686,1
1980971872,121394024,1
671593165,50003700,1
40717216,50012365,1
321508287,50012455,1
89168473,50012442,1
739457948,50010558,1
367350303,50006520,6
790024261,50013711,1
693625160,50023707,1
61597827,50006095,1
49423869,50013207,1
1737587862,50018831,1
1868686168,50010557,1
884006809,50012361,1
648441909,50013200,1
229635323,50014277,1
703214368,50012564,5
1072614039,50013636,1
1043748995,50013636,1
546771881,50003700,1
77125929,50018831,2
627185889,50003700,1
1082322756,50006023,2
33975929,121382031,1
356802872,50018831,4
641310095,50008875,1
73152560,50003700,1
26147443,50009542,1
112291849,50024842,1
485864476,50012471,1
258202957,50016704,1
1981688755,50012359,1
1931270266,121452056,1
211733420,50016706,1
18427495,50012485,2
181416859,50228021,1
774999348,50023591,1
27891227,50012442,1
458794715,50018825,1
918911822,50012359,1
1607810358,50012451,1
13537581,50013636,1
130043178,50013207,1
547565290,50012365,1
750574684,50016704,1
916173921,50012788,1
80659509,50015727,2
826488613,50008875,1
199045095,50012449,1
278380320,211122,6
675298418,50006032,1
179250018,50013636,2
129993757,50010558,1
92359774,50013636,1
99712499,50013636,1
802292318,50006843,1
30501179,50006602,2
2058332217,50010555,1
475032837,50010558,1
87267992,50002524,1
746385942,50012376,1
470444227,50018436,1
1049051801,50012451,2
259879874,121408024,1
686259706,50010549,1
1866183232,50012424,1
196351350,50024151,1
1064259707,50006095,1
791373543,50012442,1
2084503379,50006957,1
108248812,50010536,1
1055416132,50011828,1
94720348,50018831,1
1834895775,50010544,1
883604540,50016704,1
408515292,50011993,1
606636500,50013636,2
253522099,50016706,1
908709335,203322,1
131021484,50006602,1
607616238,50013636,1
141490273,50023636,1
2236741079,50010566,1
401138472,50003700,1
373726419,50008727,1
65786696,50012474,1
831058355,50012424,1
184427755,50012442,1
36013790,50011993,1
308958878,50010566,1
277349655,50006843,1
89549238,50013636,1
31795068,121394024,1
39630222,50012365,1
2267000239,50012359,1
1072233837,50018436,1
353058027,50010557,1
790526806,50010566,1
105188726,50006602,1
409226305,50012366,1
108600936,50013207,1
128388012,50012361,1
747092342,50010558,1
186387641,50012361,1
347987433,50012364,1
25847454,50012245,4
808332945,50013207,1
2242122629,50013207,1
763787778,50012365,1
1082110166,50011993,1
2272815271,50018831,1
158293125,50006030,1
797300269,50010566,1
537974689,50013636,1
375324201,50023722,1
34689462,50014129,1
764275037,50011993,1
663323441,50013636,1
797878849,50012451,1
609486989,50011993,1
17280238,50012485,2
50313665,50012451,1
94769573,50015727,1
833654608,50012432,1
2011648816,50228021,1
1990086430,50013207,1
1929823172,50010545,1
20995405,50013636,1
34380319,50010558,1
54747933,50010558,1
657997500,50010555,1
756739123,50006097,1
69773813,50012361,1
153651309,121452056,1
63229414,50008856,1
1022278076,50012451,1
1699527366,50014530,1
504804896,50012361,1
808030601,50012475,10
89152681,50012431,1
1059151568,50010558,1
73743071,50006602,1
191045226,50013207,1
294487431,50013711,1
579193743,50013636,1
140442115,50009540,1
1124373301,50013187,1
15375327,50012359,1
828939761,50013207,1
1130652949,50012617,1
94917136,50012361,1
842502553,50006030,1
628154609,50013207,1
12060934,50012371,1
1968453717,122616024,14
50186739,50010544,1
49630210,50010549,1
647970943,50010538,1
763343323,50010555,1
111238217,121414042,1
15169247,121408024,1
1034017295,50010558,1
142516573,50013636,1
842296408,50011993,1
224798654,50006235,1
299068805,50013636,1
465367819,50012371,1
719878893,50003700,1
923777348,50011993,1
528983,50013207,1
165896581,50012429,1
36562898,50014268,1
60375735,50018614,1
90068599,50000820,1
1760529303,50013711,1
1857784804,50012365,1
349086589,50012564,1
1815195016,50016032,1
687696040,50023591,1
650666942,50006602,1
77175683,50010558,1
107344443,50006602,1
524351436,50010558,1
1664494902,50010555,1
2218797395,50010544,1
669302326,211122,6
58955138,50013636,1
854146269,50013711,1
119434628,50006602,1
73666140,50016704,1
425705249,203320,1
